Category,Region,Turnover Band,Percentage
E310 Heavy and Civil Engineering Construction,Rest of South Island,03 $1m-<$5m,0.00074809
E310 Heavy and Civil Engineering Construction,Rest of South Island,04 $5m-<$10m,0.000207391
E310 Heavy and Civil Engineering Construction,Rest of South Island,05 $10m-<$20m,0.00016295
E310 Heavy and Civil Engineering Construction,Rest of South Island,06 $20m-<$50m,0.000103696
E310 Heavy and Civil Engineering Construction,Rest of South Island,07 $50m-<$100m,4.26E-05
E310 Heavy and Civil Engineering Construction,Rest of South Island,08 $100m-<$200m,3.15E-05
E310 Heavy and Civil Engineering Construction,Rest of South Island,09 $200m+,2.78E-05
E310 Heavy and Civil Engineering Construction,Waikato Region,01 <$100k,0.000871018
E310 Heavy and Civil Engineering Construction,Waikato Region,02 $100k-<$1m,0.001343937
E310 Heavy and Civil Engineering Construction,Waikato Region,03 $1m-<$5m,0.000570326
E310 Heavy and Civil Engineering Construction,Waikato Region,04 $5m-<$10m,0.00015811
E310 Heavy and Civil Engineering Construction,Waikato Region,05 $10m-<$20m,0.00012423
E310 Heavy and Civil Engineering Construction,Waikato Region,06 $20m-<$50m,7.91E-05
E310 Heavy and Civil Engineering Construction,Waikato Region,07 $50m-<$100m,3.25E-05
E310 Heavy and Civil Engineering Construction,Waikato Region,08 $100m-<$200m,2.40E-05
E310 Heavy and Civil Engineering Construction,Waikato Region,09 $200m+,2.12E-05
E310 Heavy and Civil Engineering Construction,Wellington Region,01 <$100k,0.000667404
E310 Heavy and Civil Engineering Construction,Wellington Region,02 $100k-<$1m,0.00102977
E310 Heavy and Civil Engineering Construction,Wellington Region,03 $1m-<$5m,0.000437003
E310 Heavy and Civil Engineering Construction,Wellington Region,04 $5m-<$10m,0.000121149
E310 Heavy and Civil Engineering Construction,Wellington Region,05 $10m-<$20m,9.52E-05
E310 Heavy and Civil Engineering Construction,Wellington Region,06 $20m-<$50m,6.06E-05
E310 Heavy and Civil Engineering Construction,Wellington Region,07 $50m-<$100m,2.49E-05
E310 Heavy and Civil Engineering Construction,Wellington Region,08 $100m-<$200m,1.84E-05
E310 Heavy and Civil Engineering Construction,Wellington Region,09 $200m+,1.62E-05
E321 Land Development and Site Preparation Services,Auckland Region,01 <$100k,0.009712018
E321 Land Development and Site Preparation Services,Auckland Region,02 $100k-<$1m,0.011653672
E321 Land Development and Site Preparation Services,Auckland Region,03 $1m-<$5m,0.00263885
E321 Land Development and Site Preparation Services,Auckland Region,04 $5m-<$10m,0.000368746
E321 Land Development and Site Preparation Services,Auckland Region,05 $10m-<$20m,0.00013869
E321 Land Development and Site Preparation Services,Auckland Region,06 $20m-<$50m,8.76E-05
E321 Land Development and Site Preparation Services,Auckland Region,07 $50m-<$100m,1.55E-05
E321 Land Development and Site Preparation Services,Auckland Region,08 $100m-<$200m,6.56E-06
E321 Land Development and Site Preparation Services,Auckland Region,09 $200m+,4.69E-07
E321 Land Development and Site Preparation Services,Canterbury Region,01 <$100k,0.003419027
E321 Land Development and Site Preparation Services,Canterbury Region,02 $100k-<$1m,0.004102568
E321 Land Development and Site Preparation Services,Canterbury Region,03 $1m-<$5m,0.000928983
E321 Land Development and Site Preparation Services,Canterbury Region,04 $5m-<$10m,0.000129813
E321 Land Development and Site Preparation Services,Canterbury Region,05 $10m-<$20m,4.88E-05
E321 Land Development and Site Preparation Services,Canterbury Region,06 $20m-<$50m,3.08E-05
E321 Land Development and Site Preparation Services,Canterbury Region,07 $50m-<$100m,5.44E-06
E321 Land Development and Site Preparation Services,Canterbury Region,08 $100m-<$200m,2.31E-06
E321 Land Development and Site Preparation Services,Canterbury Region,09 $200m+,1.65E-07
E321 Land Development and Site Preparation Services,Rest of North Island,01 <$100k,0.0066894
E321 Land Development and Site Preparation Services,Rest of North Island,02 $100k-<$1m,0.008026764
E321 Land Development and Site Preparation Services,Rest of North Island,03 $1m-<$5m,0.001817575
E321 Land Development and Site Preparation Services,Rest of North Island,04 $5m-<$10m,0.000253983
E321 Land Development and Site Preparation Services,Rest of North Island,05 $10m-<$20m,9.55E-05
E321 Land Development and Site Preparation Services,Rest of North Island,06 $20m-<$50m,6.03E-05
E321 Land Development and Site Preparation Services,Rest of North Island,07 $50m-<$100m,1.06E-05
E321 Land Development and Site Preparation Services,Rest of North Island,08 $100m-<$200m,4.52E-06
E321 Land Development and Site Preparation Services,Rest of North Island,09 $200m+,3.23E-07
E321 Land Development and Site Preparation Services,Rest of South Island,01 <$100k,0.003782402
E321 Land Development and Site Preparation Services,Rest of South Island,02 $100k-<$1m,0.00453859
E321 Land Development and Site Preparation Services,Rest of South Island,03 $1m-<$5m,0.001027715
E321 Land Development and Site Preparation Services,Rest of South Island,04 $5m-<$10m,0.00014361
E321 Land Development and Site Preparation Services,Rest of South Island,05 $10m-<$20m,5.40E-05
E321 Land Development and Site Preparation Services,Rest of South Island,06 $20m-<$50m,3.41E-05
E321 Land Development and Site Preparation Services,Rest of South Island,07 $50m-<$100m,6.02E-06
E321 Land Development and Site Preparation Services,Rest of South Island,08 $100m-<$200m,2.55E-06
E321 Land Development and Site Preparation Services,Rest of South Island,09 $200m+,1.82E-07
E321 Land Development and Site Preparation Services,Waikato Region,01 <$100k,0.003452061
E321 Land Development and Site Preparation Services,Waikato Region,02 $100k-<$1m,0.004142207
E321 Land Development and Site Preparation Services,Waikato Region,03 $1m-<$5m,0.000937959
E321 Land Development and Site Preparation Services,Waikato Region,04 $5m-<$10m,0.000131068
E321 Land Development and Site Preparation Services,Waikato Region,05 $10m-<$20m,4.93E-05
E321 Land Development and Site Preparation Services,Waikato Region,06 $20m-<$50m,3.11E-05
E321 Land Development and Site Preparation Services,Waikato Region,07 $50m-<$100m,5.50E-06
E321 Land Development and Site Preparation Services,Waikato Region,08 $100m-<$200m,2.33E-06
E321 Land Development and Site Preparation Services,Waikato Region,09 $200m+,1.67E-07
E321 Land Development and Site Preparation Services,Wellington Region,01 <$100k,0.001882942
E321 Land Development and Site Preparation Services,Wellington Region,02 $100k-<$1m,0.002259385
E321 Land Development and Site Preparation Services,Wellington Region,03 $1m-<$5m,0.000511614
E321 Land Development and Site Preparation Services,Wellington Region,04 $5m-<$10m,7.15E-05
E321 Land Development and Site Preparation Services,Wellington Region,05 $10m-<$20m,2.69E-05
E321 Land Development and Site Preparation Services,Wellington Region,06 $20m-<$50m,1.70E-05
E321 Land Development and Site Preparation Services,Wellington Region,07 $50m-<$100m,3.00E-06
E321 Land Development and Site Preparation Services,Wellington Region,08 $100m-<$200m,1.27E-06
E321 Land Development and Site Preparation Services,Wellington Region,09 $200m+,9.08E-08
E322 Building Structure Services,Auckland Region,01 <$100k,0.00725098
E322 Building Structure Services,Auckland Region,02 $100k-<$1m,0.008700616
E322 Building Structure Services,Auckland Region,03 $1m-<$5m,0.001970162
E322 Building Structure Services,Auckland Region,04 $5m-<$10m,0.000275305
E322 Building Structure Services,Auckland Region,05 $10m-<$20m,0.000103545
E322 Building Structure Services,Auckland Region,06 $20m-<$50m,6.54E-05
E322 Building Structure Services,Auckland Region,07 $50m-<$100m,1.15E-05
E322 Building Structure Services,Auckland Region,08 $100m-<$200m,4.90E-06
E322 Building Structure Services,Auckland Region,09 $200m+,3.50E-07
E322 Building Structure Services,Canterbury Region,01 <$100k,0.003501612
E322 Building Structure Services,Canterbury Region,02 $100k-<$1m,0.004201664
E322 Building Structure Services,Canterbury Region,03 $1m-<$5m,0.000951422
E322 Building Structure Services,Canterbury Region,04 $5m-<$10m,0.000132949
E322 Building Structure Services,Canterbury Region,05 $10m-<$20m,5.00E-05
E322 Building Structure Services,Canterbury Region,06 $20m-<$50m,3.16E-05
E322 Building Structure Services,Canterbury Region,07 $50m-<$100m,5.57E-06
E322 Building Structure Services,Canterbury Region,08 $100m-<$200m,2.37E-06
E322 Building Structure Services,Canterbury Region,09 $200m+,1.69E-07
E322 Building Structure Services,Rest of North Island,01 <$100k,0.005120282
E322 Building Structure Services,Rest of North Island,02 $100k-<$1m,0.006143943
E322 Building Structure Services,Rest of North Island,03 $1m-<$5m,0.001391231
E322 Building Structure Services,Rest of North Island,04 $5m-<$10m,0.000194407
E322 Building Structure Services,Rest of North Island,05 $10m-<$20m,7.31E-05
E322 Building Structure Services,Rest of North Island,06 $20m-<$50m,4.62E-05
E322 Building Structure Services,Rest of North Island,07 $50m-<$100m,8.15E-06
E322 Building Structure Services,Rest of North Island,08 $100m-<$200m,3.46E-06
E322 Building Structure Services,Rest of North Island,09 $200m+,2.47E-07
E322 Building Structure Services,Rest of South Island,01 <$100k,0.002295868
E322 Building Structure Services,Rest of South Island,02 $100k-<$1m,0.002754865
E322 Building Structure Services,Rest of South Island,03 $1m-<$5m,0.00062381
E322 Building Structure Services,Rest of South Island,04 $5m-<$10m,8.72E-05
E322 Building Structure Services,Rest of South Island,05 $10m-<$20m,3.28E-05
E322 Building Structure Services,Rest of South Island,06 $20m-<$50m,2.07E-05
E322 Building Structure Services,Rest of South Island,07 $50m-<$100m,3.66E-06
E322 Building Structure Services,Rest of South Island,08 $100m-<$200m,1.55E-06
E322 Building Structure Services,Rest of South Island,09 $200m+,1.11E-07
E322 Building Structure Services,Waikato Region,01 <$100k,0.002758345
E322 Building Structure Services,Waikato Region,02 $100k-<$1m,0.003309802
E322 Building Structure Services,Waikato Region,03 $1m-<$5m,0.000749469
E322 Building Structure Services,Waikato Region,04 $5m-<$10m,0.000104729
E322 Building Structure Services,Waikato Region,05 $10m-<$20m,3.94E-05
E322 Building Structure Services,Waikato Region,06 $20m-<$50m,2.49E-05
E322 Building Structure Services,Waikato Region,07 $50m-<$100m,4.39E-06
E322 Building Structure Services,Waikato Region,08 $100m-<$200m,1.86E-06
E322 Building Structure Services,Waikato Region,09 $200m+,1.33E-07
E322 Building Structure Services,Wellington Region,01 <$100k,0.001816874
E322 Building Structure Services,Wellington Region,02 $100k-<$1m,0.002180109
E322 Building Structure Services,Wellington Region,03 $1m-<$5m,0.000493662
E322 Building Structure Services,Wellington Region,04 $5m-<$10m,6.90E-05
E322 Building Structure Services,Wellington Region,05 $10m-<$20m,2.59E-05
E322 Building Structure Services,Wellington Region,06 $20m-<$50m,1.64E-05
E322 Building Structure Services,Wellington Region,07 $50m-<$100m,2.89E-06
E322 Building Structure Services,Wellington Region,08 $100m-<$200m,1.23E-06
E322 Building Structure Services,Wellington Region,09 $200m+,8.77E-08
E323 Building Installation Services,Auckland Region,01 <$100k,0.029862805
E323 Building Installation Services,Auckland Region,02 $100k-<$1m,0.035833061
E323 Building Installation Services,Auckland Region,03 $1m-<$5m,0.008114016
E323 Building Installation Services,Auckland Region,04 $5m-<$10m,0.00113383
E323 Building Installation Services,Auckland Region,05 $10m-<$20m,0.000426447
E323 Building Installation Services,Auckland Region,06 $20m-<$50m,0.000269411
E323 Building Installation Services,Auckland Region,07 $50m-<$100m,4.75E-05
