gdp_chg,pop_chg,govt,Apartments,Commercial,Domestic outbuildings,Education,Farm,Healthcare,Houses,Industrial,Retirement village,Sociocultural,Temporary Accommodation,Townhouses
-0.02,0.009999999999999998,1.0,0.28908010227029346,0.08536866620073383,-0.03788891073554176,0.02622044053793313,0.09262883628891538,0.35543710439848836,0.0327602009891035,0.07277407652758264,0.6666292685993602,0.12775691927057048,0.2708209994092018,0.11287145622457234
-0.02,0.02,0.0,0.17016131786669308,0.11527926200596088,0.04407349703100941,0.2463690742622529,-0.008164528785296242,0.2838489725037371,0.06539307283174078,0.07090338004889107,0.28582274709821953,0.2400037942349748,0.4968018771627898,0.2609129516207131
-0.02,0.02,0.2,0.20316168478857677,0.10929714254384845,0.03849564706640834,0.22600916629866946,0.011994144022505572,0.29816659854432315,0.06131146027196365,0.0712775192513705,0.36198404921719957,0.2263106542015006,0.4731309313187432,0.25321950959813533
-0.02,0.02,0.4,0.23616205171045318,0.10331502308171837,0.03291779586876871,0.2056492583350564,0.03215281683032808,0.3124842245849004,0.0572298477121709,0.07165165845348406,0.4381453513362326,0.21261751416334096,0.44945998547462596,0.24552606757485068
-0.02,0.02,0.6000000000000001,0.2691624186322961,0.09733290361957542,0.027339943881376717,0.18528935037142996,0.052311489638155226,0.32680185062545747,0.05314823515236582,0.07202579765521108,0.5143066534552581,0.19892437412125252,0.425789039630457,0.2378326255510912
-0.02,0.02,0.8,0.30216278555407927,0.09135078415742431,0.021762091547518493,0.16492944240780633,0.07247016244597101,0.34111947666598297,0.04906662259255163,0.0723999368565309,0.5904679555742154,0.18523123407599185,0.4021180937862551,0.23013918352708862
-0.02,0.02,1.0,0.33516315247577655,0.08536866469526984,0.016184239310480193,0.14456953444420162,0.0926288352537594,0.3554371027064655,0.04498501003273159,0.07277407605742285,0.6666292576930439,0.17153809402831555,0.3784471479420391,0.2224457415030749
-0.02,0.030000000000000002,0.0,0.21628583732026907,0.11527926071296343,0.06623357902397145,0.3660933792355278,-0.008164529033811908,0.28384897108586515,0.07768256216124964,0.07090337960606713,0.2858227435311719,0.32052509289766956,0.6049474860879428,0.3796922815511237
-0.02,0.030000000000000002,0.2,0.24928620424215273,0.10929714125085102,0.06065572905937038,0.3457334712719444,0.011994143773989913,0.2981665971264512,0.07360094960147251,0.07127751880854656,0.3619840456501519,0.30683195286419535,0.5812765402438962,0.3719988395285459
-0.02,0.030000000000000002,0.4,0.28228657116402917,0.10331502178872093,0.055077877861730754,0.32537356330833134,0.03215281658181242,0.31248422316702845,0.06951933704167976,0.07165165801066012,0.43814534776918496,0.2931388128260357,0.557605594399779,0.3643053975052613
-0.02,0.030000000000000002,0.6000000000000001,0.3152869380858721,0.09733290232657797,0.04950002587433876,0.305013655344705,0.05231148938963956,0.32680184920758554,0.06543772448187468,0.07202579721238714,0.5143066498882104,0.2794456727839473,0.53393464855561,0.3566119554815017
-0.02,0.030000000000000002,0.8,0.34828730500765526,0.09135078286442688,0.04392217354048053,0.2846537473810813,0.07247016219745533,0.34111947524811104,0.061356111922060474,0.07239993641370696,0.5904679520071677,0.2657525327386866,0.5102637027114081,0.3489185134574992
-0.02,0.030000000000000002,1.0,0.38128767192935253,0.0853686634022724,0.03834432130344224,0.2642938394174766,0.09262883500524371,0.35543710128859357,0.05727449936224044,0.07277407561459891,0.6666292541259964,0.2520593926910103,0.4865927568671921,0.34122507143348546
-0.02,0.039999999999999994,0.0,0.2623326530939905,0.11527926003527474,0.06624208860386006,0.48615338552416726,-0.008164529110445594,0.2838489703420736,0.08997648054753127,0.0709033793411841,0.28582274268755475,0.40590898514854384,0.7132063750288273,0.5013793989472515
