Year,Region,Project_Percentage,GDP_Percentage,Population_Percentage
2022,Wellington,0.129707016,0.123744329,0.104878865
2023,Auckland,0.24625024,0.377500508,0.337577413
2023,Canterbury,0.076558472,0.123874263,0.1301304
2023,Rest of North Island,0.252428319,0.185629701,0.22377582
2023,Rest of South Island,0.092519881,0.100271905,0.105646805
2023,Waikato,0.134397905,0.088607949,0.099396084
2023,Wellington,0.197845183,0.124115674,0.103473478
2024,Auckland,,0.379039682,0.33995347
2024,Canterbury,,0.124534277,0.129962738
2024,Rest of North Island,,0.185163853,0.222852711
2024,Rest of South Island,,0.100434755,0.105014281
2024,Waikato,,0.087900594,0.09979383
2024,Wellington,,0.122926839,0.10242297
